id_cliente;nome_cliente;valor_orcado_6meses;valor_pedido_concluido_6meses;taxa_conversao;top1_categoria_orcamento_nome;top1_categoria_orcamento_valor;top1_categoria_orcamento_taxa;top2_categoria_orcamento_nome;top2_categoria_orcamento_valor;top2_categoria_orcamento_taxa;top3_categoria_orcamento_nome;top3_categoria_orcamento_valor;top3_categoria_orcamento_taxa;top1_categoria_pedido_nome;top1_categoria_pedido_valor;top1_categoria_pedido_taxa;top2_categoria_pedido_nome;top2_categoria_pedido_valor;top2_categoria_pedido_taxa;top3_categoria_pedido_nome;top3_categoria_pedido_valor;top3_categoria_pedido_taxa
54584725;W. L. DE A. ALMEIDA;13703610.65;0.0;0.0;PRODUTOS QUÍMICOS DE LIMPEZA;6294461.65;45.9;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;2186147.6;15.9;HIGIENE PESSOAL;2086741.5;15.2;N/A;0.0;0.0;N/A;0.0;0.0;N/A;0.0;0.0
54782110;BMS INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E DISTRIBU;3630564.31;588881.32;13.96;MATERIAL DE ESCRITÓRIO;1325171.84;36.5;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;1065442.38;29.4;Sem Categoria;509700.74;14.0;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;370236.88;62.9;Sem Categoria;216767.04;36.8;PRODUTOS QUÍMICOS DE LIMPEZA;880.0;0.1
3241472;CLIENTE;1608624.67;1483.94;0.09;PRODUTOS QUÍMICOS DE LIMPEZA;503938.39;31.3;DESCARTÁVEIS E EMBALAGENS;494492.26;30.7;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;340074.12;21.1;PRODUTOS QUÍMICOS DE LIMPEZA;667.35;45.0;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;375.79;25.3;DESCARTÁVEIS E EMBALAGENS;292.85;19.7
49788489;POTENCIAL HUMANO RECRUTAMENTO E SELECAO LTDA;507000.98;26553.26;4.98;PRODUTOS DE PAPEL PARA HIGIENE;205049.25;40.4;PRODUTOS QUÍMICOS DE LIMPEZA;107735.85;21.2;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;91639.31;18.1;PRODUTOS DE PAPEL PARA HIGIENE;8411.85;31.7;PRODUTOS QUÍMICOS DE LIMPEZA;5099.62;19.2;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;3981.89;15.0
57154571;AMAZONAS TRIBUNAL DE JUSTICA;405600.0;0.0;0.0;PRODUTOS DE PAPEL PARA HIGIENE;405600.0;100.0;N/A;0.0;0.0;N/A;0.0;0.0;N/A;0.0;0.0;N/A;0.0;0.0;N/A;0.0;0.0
3331436;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL;403033.38;14723.3;3.52;PRODUTOS DE PAPEL PARA HIGIENE;193586.1;48.0;PRODUTOS QUÍMICOS DE LIMPEZA;75112.38;18.6;DESCARTÁVEIS E EMBALAGENS;58135.6;14.4;PRODUTOS DE PAPEL PARA HIGIENE;9330.0;63.4;PRODUTOS QUÍMICOS DE LIMPEZA;3375.4;22.9;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;1282.9;8.7
49371241;CONTATO SERVICOS DE CONSERVACAO E MANUTENCAO LTDA;332949.36;1375.6;0.41;PRODUTOS QUÍMICOS DE LIMPEZA;126888.6;38.1;DESCARTÁVEIS E EMBALAGENS;54647.05;16.4;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;54556.21;16.4;PRODUTOS QUÍMICOS DE LIMPEZA;694.2;50.5;Sem Categoria;525.0;38.2;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;156.4;11.4
3515790;JURUA ESTALEIROS E NAVEGACAO LTDA;326654.52;95158.34;22.56;DESCARTÁVEIS E EMBALAGENS;111160.42;34.0;PRODUTOS DE PAPEL PARA HIGIENE;80796.12;24.7;PRODUTOS QUÍMICOS DE LIMPEZA;65970.18;20.2;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;33891.1;35.6;PRODUTOS DE PAPEL PARA HIGIENE;25093.6;26.4;PRODUTOS QUÍMICOS DE LIMPEZA;19829.44;20.8
41713947;M.S.A. - SERVICOS, COMERCIO E CONSERVACAO LTDA;302301.75;1763.7;0.58;PRODUTOS DE PAPEL PARA HIGIENE;147883.0;48.9;PRODUTOS QUÍMICOS DE LIMPEZA;49598.95;16.4;DESCARTÁVEIS E EMBALAGENS;41054.0;13.6;PRODUTOS DE PAPEL PARA HIGIENE;1495.65;84.8;HIGIENE PESSOAL;96.0;5.4;DESCARTÁVEIS E EMBALAGENS;90.5;5.1
35620172;V V REFEICOES LTDA;281354.9;39563.45;12.33;DESCARTÁVEIS E EMBALAGENS;135902.8;48.3;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;105541.45;37.5;PRODUTOS QUÍMICOS DE LIMPEZA;27624.2;9.8;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;33083.05;83.6;PRODUTOS QUÍMICOS DE LIMPEZA;4939.2;12.5;DESCARTÁVEIS E EMBALAGENS;425.0;1.1
5247655;GREE ELECTRIC APPLIANCES DO BRASIL LTDA.;245000.56;2411.6;0.97;PRODUTOS DE PAPEL PARA HIGIENE;95542.8;39.0;DESCARTÁVEIS E EMBALAGENS;56644.75;23.1;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;50762.71;20.7;UTENSÍLIOS E ACESSÓRIOS DE LIMPEZA;1759.6;73.0;PRODUTOS QUÍMICOS DE LIMPEZA;652.0;27.0;N/A;0.0;0.0
